ID,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion,avg_sam_mask_AP_50_95
39,YOLOv8 Nano,True,True,1,Distance Max,0%,90%,110%,
40,YOLOv8 Nano,True,True,1,Distance Max,0%,100%,90%,
41,YOLOv8 Nano,True,True,1,Distance Max,0%,100%,100%,
42,YOLOv8 Nano,True,True,1,Distance Max,0%,100%,110%,
43,YOLOv8 Nano,True,True,1,Distance Max,0%,110%,90%,
44,YOLOv8 Nano,True,True,1,Distance Max,0%,110%,100%,
45,YOLOv8 Nano,True,True,1,Distance Max,0%,110%,110%,
46,YOLOv8 Nano,True,True,1,Distance Max,5%,90%,90%,
47,YOLOv8 Nano,True,True,1,Distance Max,5%,90%,100%,
48,YOLOv8 Nano,True,True,1,Distance Max,5%,90%,110%,
49,YOLOv8 Nano,True,True,1,Distance Max,5%,100%,90%,
50,YOLOv8 Nano,True,True,1,Distance Max,5%,100%,100%,
51,YOLOv8 Nano,True,True,1,Distance Max,5%,100%,110%,
52,YOLOv8 Nano,True,True,1,Distance Max,5%,110%,90%,
53,YOLOv8 Nano,True,True,1,Distance Max,5%,110%,100%,
54,YOLOv8 Nano,True,True,1,Distance Max,5%,110%,110%,
55,YOLOv8 Nano,True,True,1,Distance Max,10%,90%,90%,
56,YOLOv8 Nano,True,True,1,Distance Max,10%,90%,100%,
57,YOLOv8 Nano,True,True,1,Distance Max,10%,90%,110%,
58,YOLOv8 Nano,True,True,1,Distance Max,10%,100%,90%,
59,YOLOv8 Nano,True,True,1,Distance Max,10%,100%,100%,
60,YOLOv8 Nano,True,True,1,Distance Max,10%,100%,110%,
61,YOLOv8 Nano,True,True,1,Distance Max,10%,110%,90%,
62,YOLOv8 Nano,True,True,1,Distance Max,10%,110%,100%,
63,YOLOv8 Nano,True,True,1,Distance Max,10%,110%,110%,
64,YOLOv8 Nano,True,True,1,Distance Max,15%,90%,90%,
65,YOLOv8 Nano,True,True,1,Distance Max,15%,90%,100%,
66,YOLOv8 Nano,True,True,1,Distance Max,15%,90%,110%,
67,YOLOv8 Nano,True,True,1,Distance Max,15%,100%,90%,
68,YOLOv8 Nano,True,True,1,Distance Max,15%,100%,100%,
69,YOLOv8 Nano,True,True,1,Distance Max,15%,100%,110%,
70,YOLOv8 Nano,True,True,1,Distance Max,15%,110%,90%,
71,YOLOv8 Nano,True,True,1,Distance Max,15%,110%,100%,
72,YOLOv8 Nano,True,True,1,Distance Max,15%,110%,110%,
73,YOLOv8 Nano,True,True,1,Voronoi,0%,90%,90%,
74,YOLOv8 Nano,True,True,1,Voronoi,0%,90%,100%,
75,YOLOv8 Nano,True,True,1,Voronoi,0%,90%,110%,
76,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,90%,
77,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,100%,
78,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,110%,
79,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,90%,
80,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,100%,
81,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,110%,
82,YOLOv8 Nano,True,True,1,Voronoi,5%,90%,90%,
83,YOLOv8 Nano,True,True,1,Voronoi,5%,90%,100%,
84,YOLOv8 Nano,True,True,1,Voronoi,5%,90%,110%,
85,YOLOv8 Nano,True,True,1,Voronoi,5%,100%,90%,
86,YOLOv8 Nano,True,True,1,Voronoi,5%,100%,100%,
87,YOLOv8 Nano,True,True,1,Voronoi,5%,100%,110%,
88,YOLOv8 Nano,True,True,1,Voronoi,5%,110%,90%,
89,YOLOv8 Nano,True,True,1,Voronoi,5%,110%,100%,
90,YOLOv8 Nano,True,True,1,Voronoi,5%,110%,110%,
91,YOLOv8 Nano,True,True,1,Voronoi,10%,90%,90%,
92,YOLOv8 Nano,True,True,1,Voronoi,10%,90%,100%,
93,YOLOv8 Nano,True,True,1,Voronoi,10%,90%,110%,
94,YOLOv8 Nano,True,True,1,Voronoi,10%,100%,90%,
95,YOLOv8 Nano,True,True,1,Voronoi,10%,100%,100%,
96,YOLOv8 Nano,True,True,1,Voronoi,10%,100%,110%,
97,YOLOv8 Nano,True,True,1,Voronoi,10%,110%,90%,
98,YOLOv8 Nano,True,True,1,Voronoi,10%,110%,100%,
99,YOLOv8 Nano,True,True,1,Voronoi,10%,110%,110%,
100,YOLOv8 Nano,True,True,1,Voronoi,15%,90%,90%,
101,YOLOv8 Nano,True,True,1,Voronoi,15%,90%,100%,
102,YOLOv8 Nano,True,True,1,Voronoi,15%,90%,110%,
103,YOLOv8 Nano,True,True,1,Voronoi,15%,100%,90%,
104,YOLOv8 Nano,True,True,1,Voronoi,15%,100%,100%,
105,YOLOv8 Nano,True,True,1,Voronoi,15%,100%,110%,
106,YOLOv8 Nano,True,True,1,Voronoi,15%,110%,90%,
107,YOLOv8 Nano,True,True,1,Voronoi,15%,110%,100%,
108,YOLOv8 Nano,True,True,1,Voronoi,15%,110%,110%,
109,YOLOv8 Nano,True,True,2,Random,0%,90%,90%,
110,YOLOv8 Nano,True,True,2,Random,0%,90%,100%,
111,YOLOv8 Nano,True,True,2,Random,0%,90%,110%,
112,YOLOv8 Nano,True,True,2,Random,0%,100%,90%,
113,YOLOv8 Nano,True,True,2,Random,0%,100%,100%,
114,YOLOv8 Nano,True,True,2,Random,0%,100%,110%,
115,YOLOv8 Nano,True,True,2,Random,0%,110%,90%,
116,YOLOv8 Nano,True,True,2,Random,0%,110%,100%,
117,YOLOv8 Nano,True,True,2,Random,0%,110%,110%,
118,YOLOv8 Nano,True,True,2,Random,5%,90%,90%,
119,YOLOv8 Nano,True,True,2,Random,5%,90%,100%,
120,YOLOv8 Nano,True,True,2,Random,5%,90%,110%,
121,YOLOv8 Nano,True,True,2,Random,5%,100%,90%,
122,YOLOv8 Nano,True,True,2,Random,5%,100%,100%,
123,YOLOv8 Nano,True,True,2,Random,5%,100%,110%,
124,YOLOv8 Nano,True,True,2,Random,5%,110%,90%,
125,YOLOv8 Nano,True,True,2,Random,5%,110%,100%,
126,YOLOv8 Nano,True,True,2,Random,5%,110%,110%,
127,YOLOv8 Nano,True,True,2,Random,10%,90%,90%,
128,YOLOv8 Nano,True,True,2,Random,10%,90%,100%,
129,YOLOv8 Nano,True,True,2,Random,10%,90%,110%,
130,YOLOv8 Nano,True,True,2,Random,10%,100%,90%,
131,YOLOv8 Nano,True,True,2,Random,10%,100%,100%,
132,YOLOv8 Nano,True,True,2,Random,10%,100%,110%,
133,YOLOv8 Nano,True,True,2,Random,10%,110%,90%,
134,YOLOv8 Nano,True,True,2,Random,10%,110%,100%,
135,YOLOv8 Nano,True,True,2,Random,10%,110%,110%,
136,YOLOv8 Nano,True,True,2,Random,15%,90%,90%,
137,YOLOv8 Nano,True,True,2,Random,15%,90%,100%,
138,YOLOv8 Nano,True,True,2,Random,15%,90%,110%,
139,YOLOv8 Nano,True,True,2,Random,15%,100%,90%,
140,YOLOv8 Nano,True,True,2,Random,15%,100%,100%,
141,YOLOv8 Nano,True,True,2,Random,15%,100%,110%,
142,YOLOv8 Nano,True,True,2,Random,15%,110%,90%,
143,YOLOv8 Nano,True,True,2,Random,15%,110%,100%,
144,YOLOv8 Nano,True,True,2,Random,15%,110%,110%,
145,YOLOv8 Nano,True,True,2,Distance Max,0%,90%,90%,
146,YOLOv8 Nano,True,True,2,Distance Max,0%,90%,100%,
147,YOLOv8 Nano,True,True,2,Distance Max,0%,90%,110%,
148,YOLOv8 Nano,True,True,2,Distance Max,0%,100%,90%,
149,YOLOv8 Nano,True,True,2,Distance Max,0%,100%,100%,
150,YOLOv8 Nano,True,True,2,Distance Max,0%,100%,110%,
151,YOLOv8 Nano,True,True,2,Distance Max,0%,110%,90%,
152,YOLOv8 Nano,True,True,2,Distance Max,0%,110%,100%,
153,YOLOv8 Nano,True,True,2,Distance Max,0%,110%,110%,
154,YOLOv8 Nano,True,True,2,Distance Max,5%,90%,90%,
155,YOLOv8 Nano,True,True,2,Distance Max,5%,90%,100%,
156,YOLOv8 Nano,True,True,2,Distance Max,5%,90%,110%,
157,YOLOv8 Nano,True,True,2,Distance Max,5%,100%,90%,
158,YOLOv8 Nano,True,True,2,Distance Max,5%,100%,100%,
159,YOLOv8 Nano,True,True,2,Distance Max,5%,100%,110%,
160,YOLOv8 Nano,True,True,2,Distance Max,5%,110%,90%,
161,YOLOv8 Nano,True,True,2,Distance Max,5%,110%,100%,
162,YOLOv8 Nano,True,True,2,Distance Max,5%,110%,110%,
163,YOLOv8 Nano,True,True,2,Distance Max,10%,90%,90%,
164,YOLOv8 Nano,True,True,2,Distance Max,10%,90%,100%,
165,YOLOv8 Nano,True,True,2,Distance Max,10%,90%,110%,
166,YOLOv8 Nano,True,True,2,Distance Max,10%,100%,90%,
167,YOLOv8 Nano,True,True,2,Distance Max,10%,100%,100%,
168,YOLOv8 Nano,True,True,2,Distance Max,10%,100%,110%,
169,YOLOv8 Nano,True,True,2,Distance Max,10%,110%,90%,
170,YOLOv8 Nano,True,True,2,Distance Max,10%,110%,100%,
171,YOLOv8 Nano,True,True,2,Distance Max,10%,110%,110%,
172,YOLOv8 Nano,True,True,2,Distance Max,15%,90%,90%,
173,YOLOv8 Nano,True,True,2,Distance Max,15%,90%,100%,
174,YOLOv8 Nano,True,True,2,Distance Max,15%,90%,110%,
175,YOLOv8 Nano,True,True,2,Distance Max,15%,100%,90%,
176,YOLOv8 Nano,True,True,2,Distance Max,15%,100%,100%,
177,YOLOv8 Nano,True,True,2,Distance Max,15%,100%,110%,
178,YOLOv8 Nano,True,True,2,Distance Max,15%,110%,90%,
179,YOLOv8 Nano,True,True,2,Distance Max,15%,110%,100%,
180,YOLOv8 Nano,True,True,2,Distance Max,15%,110%,110%,
181,YOLOv8 Nano,True,True,2,Voronoi,0%,90%,90%,
182,YOLOv8 Nano,True,True,2,Voronoi,0%,90%,100%,
183,YOLOv8 Nano,True,True,2,Voronoi,0%,90%,110%,
184,YOLOv8 Nano,True,True,2,Voronoi,0%,100%,90%,
185,YOLOv8 Nano,True,True,2,Voronoi,0%,100%,100%,
186,YOLOv8 Nano,True,True,2,Voronoi,0%,100%,110%,
187,YOLOv8 Nano,True,True,2,Voronoi,0%,110%,90%,
188,YOLOv8 Nano,True,True,2,Voronoi,0%,110%,100%,
189,YOLOv8 Nano,True,True,2,Voronoi,0%,110%,110%,
190,YOLOv8 Nano,True,True,2,Voronoi,5%,90%,90%,
191,YOLOv8 Nano,True,True,2,Voronoi,5%,90%,100%,
192,YOLOv8 Nano,True,True,2,Voronoi,5%,90%,110%,
193,YOLOv8 Nano,True,True,2,Voronoi,5%,100%,90%,
194,YOLOv8 Nano,True,True,2,Voronoi,5%,100%,100%,
195,YOLOv8 Nano,True,True,2,Voronoi,5%,100%,110%,
196,YOLOv8 Nano,True,True,2,Voronoi,5%,110%,90%,
197,YOLOv8 Nano,True,True,2,Voronoi,5%,110%,100%,
198,YOLOv8 Nano,True,True,2,Voronoi,5%,110%,110%,
199,YOLOv8 Nano,True,True,2,Voronoi,10%,90%,90%,
200,YOLOv8 Nano,True,True,2,Voronoi,10%,90%,100%,0.6815569880283201
201,YOLOv8 Nano,True,True,2,Voronoi,10%,90%,110%,0.6786154267022848
202,YOLOv8 Nano,True,True,2,Voronoi,10%,100%,90%,0.6771967564758611
203,YOLOv8 Nano,True,True,2,Voronoi,10%,100%,100%,0.6821835547787504
204,YOLOv8 Nano,True,True,2,Voronoi,10%,100%,110%,0.676789999259602
205,YOLOv8 Nano,True,True,2,Voronoi,10%,110%,90%,0.637825480692011
206,YOLOv8 Nano,True,True,2,Voronoi,10%,110%,100%,0.6435573627857922
207,YOLOv8 Nano,True,True,2,Voronoi,10%,110%,110%,0.6437917325057009
208,YOLOv8 Nano,True,True,2,Voronoi,15%,90%,90%,
209,YOLOv8 Nano,True,True,2,Voronoi,15%,90%,100%,
210,YOLOv8 Nano,True,True,2,Voronoi,15%,90%,110%,
211,YOLOv8 Nano,True,True,2,Voronoi,15%,100%,90%,
212,YOLOv8 Nano,True,True,2,Voronoi,15%,100%,100%,
213,YOLOv8 Nano,True,True,2,Voronoi,15%,100%,110%,
214,YOLOv8 Nano,True,True,2,Voronoi,15%,110%,90%,
215,YOLOv8 Nano,True,True,2,Voronoi,15%,110%,100%,
216,YOLOv8 Nano,True,True,2,Voronoi,15%,110%,110%,
217,YOLOv8 Nano,True,True,3,Random,0%,90%,90%,
218,YOLOv8 Nano,True,True,3,Random,0%,90%,100%,
219,YOLOv8 Nano,True,True,3,Random,0%,90%,110%,
220,YOLOv8 Nano,True,True,3,Random,0%,100%,90%,
221,YOLOv8 Nano,True,True,3,Random,0%,100%,100%,
222,YOLOv8 Nano,True,True,3,Random,0%,100%,110%,
223,YOLOv8 Nano,True,True,3,Random,0%,110%,90%,
224,YOLOv8 Nano,True,True,3,Random,0%,110%,100%,
225,YOLOv8 Nano,True,True,3,Random,0%,110%,110%,
226,YOLOv8 Nano,True,True,3,Random,5%,90%,90%,
227,YOLOv8 Nano,True,True,3,Random,5%,90%,100%,
228,YOLOv8 Nano,True,True,3,Random,5%,90%,110%,
229,YOLOv8 Nano,True,True,3,Random,5%,100%,90%,
230,YOLOv8 Nano,True,True,3,Random,5%,100%,100%,
231,YOLOv8 Nano,True,True,3,Random,5%,100%,110%,
232,YOLOv8 Nano,True,True,3,Random,5%,110%,90%,
233,YOLOv8 Nano,True,True,3,Random,5%,110%,100%,
234,YOLOv8 Nano,True,True,3,Random,5%,110%,110%,
235,YOLOv8 Nano,True,True,3,Random,10%,90%,90%,
236,YOLOv8 Nano,True,True,3,Random,10%,90%,100%,
237,YOLOv8 Nano,True,True,3,Random,10%,90%,110%,
238,YOLOv8 Nano,True,True,3,Random,10%,100%,90%,
239,YOLOv8 Nano,True,True,3,Random,10%,100%,100%,
240,YOLOv8 Nano,True,True,3,Random,10%,100%,110%,
241,YOLOv8 Nano,True,True,3,Random,10%,110%,90%,
242,YOLOv8 Nano,True,True,3,Random,10%,110%,100%,
243,YOLOv8 Nano,True,True,3,Random,10%,110%,110%,
244,YOLOv8 Nano,True,True,3,Random,15%,90%,90%,
245,YOLOv8 Nano,True,True,3,Random,15%,90%,100%,
246,YOLOv8 Nano,True,True,3,Random,15%,90%,110%,
247,YOLOv8 Nano,True,True,3,Random,15%,100%,90%,
248,YOLOv8 Nano,True,True,3,Random,15%,100%,100%,
249,YOLOv8 Nano,True,True,3,Random,15%,100%,110%,
250,YOLOv8 Nano,True,True,3,Random,15%,110%,90%,
251,YOLOv8 Nano,True,True,3,Random,15%,110%,100%,
252,YOLOv8 Nano,True,True,3,Random,15%,110%,110%,
253,YOLOv8 Nano,True,True,3,Distance Max,0%,90%,90%,
254,YOLOv8 Nano,True,True,3,Distance Max,0%,90%,100%,
255,YOLOv8 Nano,True,True,3,Distance Max,0%,90%,110%,
256,YOLOv8 Nano,True,True,3,Distance Max,0%,100%,90%,
257,YOLOv8 Nano,True,True,3,Distance Max,0%,100%,100%,
258,YOLOv8 Nano,True,True,3,Distance Max,0%,100%,110%,
259,YOLOv8 Nano,True,True,3,Distance Max,0%,110%,90%,
260,YOLOv8 Nano,True,True,3,Distance Max,0%,110%,100%,
261,YOLOv8 Nano,True,True,3,Distance Max,0%,110%,110%,
262,YOLOv8 Nano,True,True,3,Distance Max,5%,90%,90%,
263,YOLOv8 Nano,True,True,3,Distance Max,5%,90%,100%,
264,YOLOv8 Nano,True,True,3,Distance Max,5%,90%,110%,
265,YOLOv8 Nano,True,True,3,Distance Max,5%,100%,90%,
266,YOLOv8 Nano,True,True,3,Distance Max,5%,100%,100%,
267,YOLOv8 Nano,True,True,3,Distance Max,5%,100%,110%,
268,YOLOv8 Nano,True,True,3,Distance Max,5%,110%,90%,
269,YOLOv8 Nano,True,True,3,Distance Max,5%,110%,100%,
270,YOLOv8 Nano,True,True,3,Distance Max,5%,110%,110%,
271,YOLOv8 Nano,True,True,3,Distance Max,10%,90%,90%,
272,YOLOv8 Nano,True,True,3,Distance Max,10%,90%,100%,
273,YOLOv8 Nano,True,True,3,Distance Max,10%,90%,110%,
274,YOLOv8 Nano,True,True,3,Distance Max,10%,100%,90%,
275,YOLOv8 Nano,True,True,3,Distance Max,10%,100%,100%,
276,YOLOv8 Nano,True,True,3,Distance Max,10%,100%,110%,
277,YOLOv8 Nano,True,True,3,Distance Max,10%,110%,90%,
278,YOLOv8 Nano,True,True,3,Distance Max,10%,110%,100%,
279,YOLOv8 Nano,True,True,3,Distance Max,10%,110%,110%,
280,YOLOv8 Nano,True,True,3,Distance Max,15%,90%,90%,
281,YOLOv8 Nano,True,True,3,Distance Max,15%,90%,100%,
282,YOLOv8 Nano,True,True,3,Distance Max,15%,90%,110%,
283,YOLOv8 Nano,True,True,3,Distance Max,15%,100%,90%,
284,YOLOv8 Nano,True,True,3,Distance Max,15%,100%,100%,
285,YOLOv8 Nano,True,True,3,Distance Max,15%,100%,110%,
286,YOLOv8 Nano,True,True,3,Distance Max,15%,110%,90%,
287,YOLOv8 Nano,True,True,3,Distance Max,15%,110%,100%,
288,YOLOv8 Nano,True,True,3,Distance Max,15%,110%,110%,
289,YOLOv8 Nano,True,True,3,Voronoi,0%,90%,90%,
290,YOLOv8 Nano,True,True,3,Voronoi,0%,90%,100%,
291,YOLOv8 Nano,True,True,3,Voronoi,0%,90%,110%,
292,YOLOv8 Nano,True,True,3,Voronoi,0%,100%,90%,
293,YOLOv8 Nano,True,True,3,Voronoi,0%,100%,100%,
294,YOLOv8 Nano,True,True,3,Voronoi,0%,100%,110%,
295,YOLOv8 Nano,True,True,3,Voronoi,0%,110%,90%,
296,YOLOv8 Nano,True,True,3,Voronoi,0%,110%,100%,
297,YOLOv8 Nano,True,True,3,Voronoi,0%,110%,110%,
298,YOLOv8 Nano,True,True,3,Voronoi,5%,90%,90%,
299,YOLOv8 Nano,True,True,3,Voronoi,5%,90%,100%,
300,YOLOv8 Nano,True,True,3,Voronoi,5%,90%,110%,
301,YOLOv8 Nano,True,True,3,Voronoi,5%,100%,90%,
302,YOLOv8 Nano,True,True,3,Voronoi,5%,100%,100%,
303,YOLOv8 Nano,True,True,3,Voronoi,5%,100%,110%,
304,YOLOv8 Nano,True,True,3,Voronoi,5%,110%,90%,
305,YOLOv8 Nano,True,True,3,Voronoi,5%,110%,100%,
306,YOLOv8 Nano,True,True,3,Voronoi,5%,110%,110%,
307,YOLOv8 Nano,True,True,3,Voronoi,10%,90%,90%,
308,YOLOv8 Nano,True,True,3,Voronoi,10%,90%,100%,
309,YOLOv8 Nano,True,True,3,Voronoi,10%,90%,110%,
310,YOLOv8 Nano,True,True,3,Voronoi,10%,100%,90%,
311,YOLOv8 Nano,True,True,3,Voronoi,10%,100%,100%,
312,YOLOv8 Nano,True,True,3,Voronoi,10%,100%,110%,
313,YOLOv8 Nano,True,True,3,Voronoi,10%,110%,90%,
314,YOLOv8 Nano,True,True,3,Voronoi,10%,110%,100%,
315,YOLOv8 Nano,True,True,3,Voronoi,10%,110%,110%,
316,YOLOv8 Nano,True,True,3,Voronoi,15%,90%,90%,
317,YOLOv8 Nano,True,True,3,Voronoi,15%,90%,100%,
318,YOLOv8 Nano,True,True,3,Voronoi,15%,90%,110%,
319,YOLOv8 Nano,True,True,3,Voronoi,15%,100%,90%,
320,YOLOv8 Nano,True,True,3,Voronoi,15%,100%,100%,
321,YOLOv8 Nano,True,True,3,Voronoi,15%,100%,110%,
322,YOLOv8 Nano,True,True,3,Voronoi,15%,110%,90%,
323,YOLOv8 Nano,True,True,3,Voronoi,15%,110%,100%,
324,YOLOv8 Nano,True,True,3,Voronoi,15%,110%,110%,
325,YOLOv8 Nano,True,True,4,Random,0%,90%,90%,
326,YOLOv8 Nano,True,True,4,Random,0%,90%,100%,
327,YOLOv8 Nano,True,True,4,Random,0%,90%,110%,
328,YOLOv8 Nano,True,True,4,Random,0%,100%,90%,
329,YOLOv8 Nano,True,True,4,Random,0%,100%,100%,
330,YOLOv8 Nano,True,True,4,Random,0%,100%,110%,
331,YOLOv8 Nano,True,True,4,Random,0%,110%,90%,
332,YOLOv8 Nano,True,True,4,Random,0%,110%,100%,
333,YOLOv8 Nano,True,True,4,Random,0%,110%,110%,
334,YOLOv8 Nano,True,True,4,Random,5%,90%,90%,
335,YOLOv8 Nano,True,True,4,Random,5%,90%,100%,
336,YOLOv8 Nano,True,True,4,Random,5%,90%,110%,
337,YOLOv8 Nano,True,True,4,Random,5%,100%,90%,
338,YOLOv8 Nano,True,True,4,Random,5%,100%,100%,
339,YOLOv8 Nano,True,True,4,Random,5%,100%,110%,
340,YOLOv8 Nano,True,True,4,Random,5%,110%,90%,
341,YOLOv8 Nano,True,True,4,Random,5%,110%,100%,
342,YOLOv8 Nano,True,True,4,Random,5%,110%,110%,
343,YOLOv8 Nano,True,True,4,Random,10%,90%,90%,
344,YOLOv8 Nano,True,True,4,Random,10%,90%,100%,
345,YOLOv8 Nano,True,True,4,Random,10%,90%,110%,
346,YOLOv8 Nano,True,True,4,Random,10%,100%,90%,
347,YOLOv8 Nano,True,True,4,Random,10%,100%,100%,
348,YOLOv8 Nano,True,True,4,Random,10%,100%,110%,
349,YOLOv8 Nano,True,True,4,Random,10%,110%,90%,
350,YOLOv8 Nano,True,True,4,Random,10%,110%,100%,
351,YOLOv8 Nano,True,True,4,Random,10%,110%,110%,
352,YOLOv8 Nano,True,True,4,Random,15%,90%,90%,
353,YOLOv8 Nano,True,True,4,Random,15%,90%,100%,
354,YOLOv8 Nano,True,True,4,Random,15%,90%,110%,
355,YOLOv8 Nano,True,True,4,Random,15%,100%,90%,
356,YOLOv8 Nano,True,True,4,Random,15%,100%,100%,
357,YOLOv8 Nano,True,True,4,Random,15%,100%,110%,
358,YOLOv8 Nano,True,True,4,Random,15%,110%,90%,
359,YOLOv8 Nano,True,True,4,Random,15%,110%,100%,
360,YOLOv8 Nano,True,True,4,Random,15%,110%,110%,
361,YOLOv8 Nano,True,True,4,Distance Max,0%,90%,90%,
362,YOLOv8 Nano,True,True,4,Distance Max,0%,90%,100%,
363,YOLOv8 Nano,True,True,4,Distance Max,0%,90%,110%,
364,YOLOv8 Nano,True,True,4,Distance Max,0%,100%,90%,
365,YOLOv8 Nano,True,True,4,Distance Max,0%,100%,100%,
366,YOLOv8 Nano,True,True,4,Distance Max,0%,100%,110%,
367,YOLOv8 Nano,True,True,4,Distance Max,0%,110%,90%,
368,YOLOv8 Nano,True,True,4,Distance Max,0%,110%,100%,
369,YOLOv8 Nano,True,True,4,Distance Max,0%,110%,110%,
370,YOLOv8 Nano,True,True,4,Distance Max,5%,90%,90%,
371,YOLOv8 Nano,True,True,4,Distance Max,5%,90%,100%,
372,YOLOv8 Nano,True,True,4,Distance Max,5%,90%,110%,
373,YOLOv8 Nano,True,True,4,Distance Max,5%,100%,90%,
374,YOLOv8 Nano,True,True,4,Distance Max,5%,100%,100%,
375,YOLOv8 Nano,True,True,4,Distance Max,5%,100%,110%,
376,YOLOv8 Nano,True,True,4,Distance Max,5%,110%,90%,
377,YOLOv8 Nano,True,True,4,Distance Max,5%,110%,100%,
378,YOLOv8 Nano,True,True,4,Distance Max,5%,110%,110%,
379,YOLOv8 Nano,True,True,4,Distance Max,10%,90%,90%,
380,YOLOv8 Nano,True,True,4,Distance Max,10%,90%,100%,
381,YOLOv8 Nano,True,True,4,Distance Max,10%,90%,110%,
382,YOLOv8 Nano,True,True,4,Distance Max,10%,100%,90%,
383,YOLOv8 Nano,True,True,4,Distance Max,10%,100%,100%,
384,YOLOv8 Nano,True,True,4,Distance Max,10%,100%,110%,
385,YOLOv8 Nano,True,True,4,Distance Max,10%,110%,90%,
386,YOLOv8 Nano,True,True,4,Distance Max,10%,110%,100%,
387,YOLOv8 Nano,True,True,4,Distance Max,10%,110%,110%,
388,YOLOv8 Nano,True,True,4,Distance Max,15%,90%,90%,
389,YOLOv8 Nano,True,True,4,Distance Max,15%,90%,100%,
390,YOLOv8 Nano,True,True,4,Distance Max,15%,90%,110%,
391,YOLOv8 Nano,True,True,4,Distance Max,15%,100%,90%,
392,YOLOv8 Nano,True,True,4,Distance Max,15%,100%,100%,
393,YOLOv8 Nano,True,True,4,Distance Max,15%,100%,110%,
394,YOLOv8 Nano,True,True,4,Distance Max,15%,110%,90%,
395,YOLOv8 Nano,True,True,4,Distance Max,15%,110%,100%,
396,YOLOv8 Nano,True,True,4,Distance Max,15%,110%,110%,
397,YOLOv8 Nano,True,True,4,Voronoi,0%,90%,90%,
398,YOLOv8 Nano,True,True,4,Voronoi,0%,90%,100%,
399,YOLOv8 Nano,True,True,4,Voronoi,0%,90%,110%,
400,YOLOv8 Nano,True,True,4,Voronoi,0%,100%,90%,0.6543301981576468
401,YOLOv8 Nano,True,True,4,Voronoi,0%,100%,100%,0.6781619323047802
402,YOLOv8 Nano,True,True,4,Voronoi,0%,100%,110%,0.6340586375380459
